zuid,url,address,city,contact_us_cta_header,contact_us_image,contact_us_page_link,contact_us_title,division_code,facebook_url_link,feature_article,gdos_id,instagram_url_link,linkedin_url_link,map_excerpt_description,map_excerpt_subtext,matrix_stats,name,og_image,primary_card,primary_card_cta_text,secondary_card,secondary_cta_text,services_title,should_redirect,site_name,state,symphony_site_id,territory,twitter_url_link,youtube_url_link,zipcode
7-d4838ce5cd-6fzr15,/usa-western-territory/southern-california/,16941 Keegan Avenue,7-d4d0cc8dd1-lh9b6l,,3-12eb59e1-6njpnm,7-c8ebdf8dee-dcx6c9,Contact Us,SC,https://www.facebook.com/salarmysocal/,,8a80800f559c116f0155e0dc29c0010d,https://www.instagram.com/salarmysocal/,https://www.linkedin.com/company/salarmysocal/,"<p class=""p1"">For the most up-to-date information on services in your area, including registrations for seasonal assistance, please contact your local Salvation Army using the location finder below.</p>
<p class=""p1""><strong>Please enter a zip code to find your nearest location, or for assistance during business hours, call (562) 264-3600.</strong></p>
<p class=""p1"">&nbsp;</p>
<p class=""p1""></p>
<p class=""p1""></p>",Meeting Needs in Southern California,,Southern California,,7-cebb9ebd81-vzp4w7,,7-f8a8bcdbd3-2vljtw,,Our Services,0,,7-f4f1f49eba-k0fhfl,,7-dcb3daeee7-3l9t49,https://www.twitter.com/salarmysocal/,https://www.youtube.com/@SalArmySocal,90015
7-8c83d8fcd7-rzdqc7,/usa-central-territory/great-lakes/,16130 Northland Drive,7-9ed489ecc8-whh8jt,,3-14362056-8stgxx,7-c0cb819ee8-tggkjx,Need Help?,GLD,https://www.facebook.com/sagreatlakesdivision,7-ac9f9afd80-b9z9ch,402818763d5b8722013d5baba12e07d7,https://www.instagram.com/salmich1/,https://www.linkedin.com/company/the-salvation-army-great-lakes-division/,"<article>
<h4 class=""mb-6"">Search for a Salvation Army location near you to get help, volunteer, or&nbsp;donate</h4>
<div class=""w-sm-100 pe-md-16 pe-sm-0 text-dark-50 fs-7 map-description f-ajenson"">
<article>
<p>In our effort to meet human needs wherever we can, we offer unique, local programs, designed to meet the specific needs of each community we serve. The best way to get the help you need, or find a place to volunteer, is to connect with a local center or church near you.</p>
<span>&nbsp;</span>
<p>Please enter your city name or ZIP code to find your nearest location.</p>
</article>
</div>
</article>",Find a Location Near You,,Great Lakes,,7-ecfba1eb80-xc43hr,,7-f0cc92b3d2-c7cxzh,,Some services here,0,,7-f89ac3808f-fhd9gf,,7-ec8a80fdbe-46hzww,http://www.x.com/salmich,https://www.youtube.com/SalvationArmyEMI,48075-5218
7-8cf1a59ee2-cbn73f,/usa-central-territory/north-and-central-illinois/,5040 N Pulaski Road,7-a6d7b884fb-2crp9c,,3-140f00a9-2zlznm,7-98e29fc6fa-s2ptww,Contact Us,NCI,https://www.facebook.com/salarmynci,,402818763d5b8722013d5b983764042c,https://www.instagram.com/salarmynci/,https://www.linkedin.com/company/salarmynci/,"<p>In our effort to meet human needs wherever we can, we offer unique, local programs, designed to meet the specific needs of each community we serve. The best way to get the help you need, or find a place to volunteer, is to connect with a local center or church near you.</p>
<p>Please enter your city name or ZIP code to find your nearest location.</p>","Search for a Salvation Army location near you to get help, volunteer, or donate",,North and Central Illinois,,7-a089c09dc1-31mt1m,Learn More,7-b4cda497c4-wcxq2h,View,,0,,7-8099efa2b2-rdn3bt,,7-ec8a80fdbe-46hzww,https://twitter.com/salarmynci,https://www.youtube.com/channel/UCRnFiN0l_e7-aZ5j07cxTqA,60630-2788
7-ba93eaf281-hmkxr5,/usa-national/the-salvation-army-world-service-office/,615 Slaters Lane,7-9280c4b6f1-d3zc58,,,,,SAWSO,,,f058c737ehddj19f78ehh8k66ei377ca,,,,,,The Salvation Army World Service Office,,,,,,,0,,7-80b1caa291-4wnwbh,,7-a0ca969bd3-xt9192,,,22313
7-96d6d48fd9-m9jqc7,/usa-eastern-territory/puerto-rico-and-virgin-islands/,306 Ave. De La Constitucion,7-b4b2d3c3de-tbx1nc,,,,,PRV,,,de36a515cfbbh97d56cff6i44cg155a8,,,,,,Puerto Rico and Virgin Islands,,,,,,,0,,7-aec8b0ccaa-4zszjs,,7-ae82da90c9-zjnfr3,,,00901-2207
7-b4aef0d3c3-xlrk3c,/usa-eastern-territory/adult-rehabilitation-centers-command-use/,440 West Nyack Road,7-f2dfadc3ec-x6wdmq,,,,,ARCE,,,237bf06akhggm4chabhlkbnc9hl6aafd,,,,,,Adult Rehabilitation Centers Command (USE),,,,,,,0,,7-b2eec98c95-gqhf9w,,7-ae82da90c9-zjnfr3,,,10994
7-f28aecb2b9-wlbvm1,/usa-southern-territory/adult-rehabilitation-centers-command-uss/,1424 NE Expressway,7-b6c9d8fcce-9bj197,,,,,ARCS,,,348d017bjiihn5dicsimlcodoim7bb0e,,,,,,Adult Rehabilitation Centers Command (USS),,,,,,,0,,7-c8dfa1fe88-n3rcjd,,7-b4aeafb8dd-033tjr,,,30329
7-8e81f1e9c4-h2jlj7,/usa-eastern-territory/northeast-ohio/,2507 East 22nd Street,7-e68ad58dff-cm8kjc,,,,,NEO,,,bc1483f3ad89g75b34add4g22ae93386,,,,,,Northeast Ohio Division,,,,,,,0,,7-eef6d9959f-0jqv0v,,7-ae82da90c9-zjnfr3,,,44115-3202
7-e8e8a3fd8b-2gq5mq,/usa-western-territory/adult-rehabilitation-centers-command-usw/,180 E Ocean Blvd,7-80d3f0ccf2-rk7knv,,,,,ARCW,,,459e128ckjjio6ejdtjnddpepjn8cc1f,,,,,,Adult Rehabilitation Centers Command (USW),,,,,,,0,,7-f4f1f49eba-k0fhfl,,7-dcb3daeee7-3l9t49,,,90802
7-94c4a096af-rwkvsg,/usa-central-territory/adult-rehabilitation-centers-command-usc/,5550 Prairie Stone Parkway,7-b4d49ee8dc-cl3gzz,,,,,ARCC,,,8a551df64db0278a014dbe27652c03e5,,,,,,Adult Rehabilitation Centers Command (USC),,,,,,,0,,7-8099efa2b2-rdn3bt,,7-ec8a80fdbe-46hzww,,,60192
7-e8cce8fdce-cg7t18,/usa-eastern-territory/northern-new-england/,"297 Cumberland Avenue Portland, Maine, 04101",7-e8cbf28eb4-24ncv0,,3-125b6d3e-2r6z15,,Contact Our Northern New England Division,NNE,,,cd259404beaag86c45bee5h33bf04497,,,"<p data-start=""186"" data-end=""525"">The Salvation Army&rsquo;s USA Eastern Territory spans <strong data-start=""235"" data-end=""277"">12 states and the District of Columbia</strong>, covering the Northeast and parts of the Midwest and Mid-Atlantic. It includes <strong data-start=""357"" data-end=""499"">Connecticut, Delaware, Maine, Massachusetts, New Hampshire, New Jersey, New York, Ohio, Pennsylvania, Rhode Island, Vermont, West Virginia</strong>, and <strong data-start=""505"" data-end=""525"">Washington, D.C.</strong></p>
<p data-start=""527"" data-end=""801"">The territory is organized into <strong data-start=""559"" data-end=""575"">11 divisions</strong>, each overseeing local operations, programs, and services. Headquartered in <strong data-start=""652"" data-end=""670"">West Nyack, NY</strong>, the territory supports a wide range of ministries including social services, disaster relief, youth programs, and spiritual care.</p>
<p data-start=""803"" data-end=""921"">This map reflects the reach and structure of the territory as it works to meet human needs across diverse communities.</p>",The Salvation Army Serves In Every Zip Code In America,,Northern New England,,,,,,Northern New England Division Services,0,,7-dcd7dbbe84-xg8mg9,,7-ae82da90c9-zjnfr3,,,04101
7-e684fda6fc-0l6z8j,/usa-western-territory/golden-state/,832 Folsom Street,7-88f2a4dbbb-dvsv44,,3-12caf0f8-00lw0l,7-e684fda6fc-0l6z8j,,GS,https://www.facebook.com/tsagoldenstate/,7-e0fa85a890-jsj43g,8a80800f559c116f0155e0ddb5040110,,https://www.linkedin.com/company/the-salvation-army-golden-state-division,"<p class=""p1""><span>For the most up-to-date information on services in your area, including registrations for seasonal assistance, please contact your local Salvation Army using the location finder below. Please enter a zip code to find your nearest location.</span></p>","Meeting Needs in San Francisco, Silicon Valley, The Central Coast, and The Central Valley",,Golden State Division,,7-d6ab90b1e5-3mw4sc,Learn More,7-f8a8bcdbd3-2vljtw,,Our Services,0,,7-f4f1f49eba-k0fhfl,,7-dcb3daeee7-3l9t49,,https://www.youtube.com/c/salvationarmygoldenstatedivision,94107
