zuid,url,body,contact_name,contact_number,county,division,email,form_embed,gdos_id,image,name,og_image,properties_types,service_image,service_type,state,territory
7-b6f3a6d79b-35nc1j,/fl/hudson/west-pasco-domestic-violence-shelter/,,,,,7-d4ecfdb8aa-ggn7w9,,,8a8280b58d7316e6018d7bcc81bd0090,,West Pasco Domestic Violence Shelter,,7-bca9f585ea-4vkfpf,,,7-a8989ee7fe-vmd865,7-b4aeafb8dd-033tjr
7-a6e4a6f58a-q7vr5x,/fl/chipley/chipley-domestic-violence-center/,,,,,7-d4ecfdb8aa-ggn7w9,,,8a8280448d73b80d018d7bcc85090081,,Chipley Domestic Violence Center,,7-bca9f585ea-4vkfpf,,,7-a8989ee7fe-vmd865,7-b4aeafb8dd-033tjr
7-a49b8fcef8-bdr46m,/tn/knoxville/joy-baker-center/,,,,,7-dac2a589bf-2klwh6,,,2c9f7899958a51db019599456aed0000,,Joy Baker Center,,7-bca9f585ea-4vkfpf,,,7-cec5e183f2-nxqt7m,7-b4aeafb8dd-033tjr
7-a6c6d9dc87-b2b033,/ga/doraville/haven-atlanta/,,,,"fulton, cobb, gwinnett, dekalb,",7-d4ebbcf3b4-lwqwp2,,,8a82818e8d73bcf9018d7b97881c005f,,Haven Atlanta,,7-f691eab491-c70tfg,,7-beaf9889da-crq1nq,7-c8dfa1fe88-n3rcjd,7-b4aeafb8dd-033tjr
7-ae97f394ad-s6csd7,/va/accomac/accomack-county-va-service-unit/,,,,Accomack,7-f0f9b5c4ec-xb359v,,,8a83ffcd8fca4ef201903a49721b0016,,Accomack County VA (Accomac) Service Unit,,7-949bf3969a-8sq3w8,,,7-80b1caa291-4wnwbh,7-b4aeafb8dd-033tjr
7-e8caacd398-jdnbp0,/ga/dalton/dalton-transitional-housing/,,,,,7-d4ebbcf3b4-lwqwp2,,,8a8282377e720e88017e809d8f27008c,,Dalton Transitional Housing,,7-909ec082f9-mqzb0g,,,7-c8dfa1fe88-n3rcjd,7-b4aeafb8dd-033tjr
7-8cc0d5998d-fft6wf,/fl/st-petersburg/st-petersburg-childrens-village/,,,,,7-d4ecfdb8aa-ggn7w9,,,8a82804d77cf72c60178411b20dd0914,,St Petersburg Children's Village (Child Placement Agency),,7-e2e7f09dab-tz0cg9,,,7-a8989ee7fe-vmd865,7-b4aeafb8dd-033tjr
7-caa9f38fe8-wxndz2,/nd/bismarck/service-extension-western-nd-area-manager/,,,,,7-8ab1b9b3f3-tdc5n3,,,402818763d5b8722013d5ba7f05b0711,,Service Extension Western ND Area Manager,,7-f691a0a1b9-fh97j0,,,7-f6e0d8b2cc-z6lnsp,7-ec8a80fdbe-46hzww
7-a6b2b2d1dc-r4m8f1,/nd/grand-forks/service-extension-eastern-nd-area-manager/,,,,,7-8ab1b9b3f3-tdc5n3,,,402818763d5b8722013d5ba7c4590708,,Service Extension Eastern ND Area Manager,,7-f691a0a1b9-fh97j0,,,7-f6e0d8b2cc-z6lnsp,7-ec8a80fdbe-46hzww
7-bafca1f7a1-drphpf,/ca/sonora/sonora-ca-sonora-service-center/,,,,,7-e684fda6fc-0l6z8j,,,8aa4c2194e6dc84d014f0535b4600302,,"Sonora, CA: Sonora Service Center",,7-82e8f193a5-ptmsp7,,,7-f4f1f49eba-k0fhfl,7-dcb3daeee7-3l9t49
7-f2b0f98afe-8d0mqw,/ok/oklahoma-city/oklahoma-city-senior-citizens-program/,,,,,7-f4cfbc98a0-bhnrr5,,,8a82804d77cf72c60178413552090a9d,,Oklahoma City Senior Citizens Program,,7-f691eab491-c70tfg,,,7-e29db4a9a9-12b6sn,7-b4aeafb8dd-033tjr
7-9e9092c4f4-2gbkr3,/md/baltimore/baltimore-catherines-cottage/,,,,,7-f0f9b5c4ec-xb359v,,,8a8280448d73b80d018d7b97a0590067,,Baltimore Catherine's Cottage,,7-f691eab491-c70tfg,,,7-a4bcb59bfa-lrdl4p,7-b4aeafb8dd-033tjr
7-de85c3daea-4f0ls5,/pa/somerset/somerset-service-center/,,,,,7-ac89f1d9f7-q6bwl8,,,402818763d5b8722013d5b8e8dc201c8,,SOMERSET SERVICE CENTER,,7-82e8f193a5-ptmsp7,,,7-9cdcbfd8bd-qd682n,7-ae82da90c9-zjnfr3
7-d6d4f7c5b0-q8gsbx,/va/norfolk/hampton-roads-hope-village/,,,,,7-f0f9b5c4ec-xb359v,,,8a83826390da9d540190e96292280003,,Hampton Roads Hope Village,,7-f8c2eaf782-8f9wh8,,,7-80b1caa291-4wnwbh,7-b4aeafb8dd-033tjr
7-9e94e1e7a4-33q5mp,/tx/houston/houston-center-of-hope/,,,,,7-8cb2cdb7d3-v7g7zn,,,8a8282238d745250018d7b96faca0047,,Houston Center of Hope,,7-f8c2eaf782-8f9wh8,,,7-f4c3d4c9fc-rzcklp,7-b4aeafb8dd-033tjr
7-b8a5ef9399-fhm80b,/ga/atlanta/atlanta-red-shield-harbor-light-corps/,,,,,7-d4ebbcf3b4-lwqwp2,,,8a82818e8c7191fb018c71931b370000,,Atlanta Red Shield Harbor Light Corps,,7-f4db9ae2fc-p0cghb,,,7-c8dfa1fe88-n3rcjd,7-b4aeafb8dd-033tjr
7-dcfc889188-6l423p,/fl/st-petersburg/st-petersburg-sallie-house-and-children-shelter/,,,,,7-d4ecfdb8aa-ggn7w9,,,8a82804d77cf72c601784143edd60b72,,St Petersburg Sallie House and Children Shelter,,7-f8c2eaf782-8f9wh8,,,7-a8989ee7fe-vmd865,7-b4aeafb8dd-033tjr
7-d6a8f1b2fe-xrlcfl,/tx/waco/waco-sallys-house/,,,,,7-8cb2cdb7d3-v7g7zn,,,8a80802868dd92230168ddabddc60000,,Waco Sally's House,,7-f8c2eaf782-8f9wh8,,,7-f4c3d4c9fc-rzcklp,7-b4aeafb8dd-033tjr
7-cac39adbf4-4zk15d,/tx/austin/austin-shelter-for-women-and-children/,,,,,7-8cb2cdb7d3-v7g7zn,,,8a5691484909ce0d014a728897e30079,,Austin Shelter for Women and Children,,7-f8c2eaf782-8f9wh8,,,7-f4c3d4c9fc-rzcklp,7-b4aeafb8dd-033tjr
7-d6c0ac8aeb-r7bmc6,/tx/dallas/carr-p-collins-harbor-light-corps/,,,,,7-8cb2cdb7d3-v7g7zn,,,402818763d5b8722013d5cd9e6942055,,Carr P Collins Harbor Light Corps,,7-f4db9ae2fc-p0cghb,,,7-f4c3d4c9fc-rzcklp,7-b4aeafb8dd-033tjr
7-d2e28fc1d3-66x5lh,/ga/thomasville/thomasville-needham-shelter/,,,,,7-d4ebbcf3b4-lwqwp2,,,2c9f5379958a5246019599456de90000,,Thomasville Needham Shelter,,7-f8c2eaf782-8f9wh8,,,7-c8dfa1fe88-n3rcjd,7-b4aeafb8dd-033tjr
7-86e7e18ff0-5072t8,/tx/eldorado/schieicher-county-tx-service-unit/,,,,,7-8cb2cdb7d3-v7g7zn,,,8a83ffcd8fca4ef20190527c55270061,,Schieicher County TX (Eldorado) Service Unit,,7-949bf3969a-8sq3w8,,,7-f4c3d4c9fc-rzcklp,7-b4aeafb8dd-033tjr
7-da9195e0df-khzdgk,/tx/mccamey/upton-county-tx-service-unit/,,,,,7-8cb2cdb7d3-v7g7zn,,,8a83ffcd8fca4ef20190527c4dd1005e,,Upton County TX (McCamey) Service Unit,,7-949bf3969a-8sq3w8,,,7-f4c3d4c9fc-rzcklp,7-b4aeafb8dd-033tjr
7-bed693a9ce-bwd9fk,/va/lebanon/russell-county-va-service-unit/,,,,,7-f0f9b5c4ec-xb359v,,,8a83ffcd8fca4ef201903dd20378004f,,Russell County VA (Lebanon) Service Unit,,7-949bf3969a-8sq3w8,,,7-80b1caa291-4wnwbh,7-b4aeafb8dd-033tjr
7-dcb8e092be-fl5mk2,/wv/petersburg/grant-county-wv-service-unit/,,,,,7-f0f9b5c4ec-xb359v,,,8a83ffcd8fca4ef201903dd20009004c,,Grant County WV (Petersburg) Service Unit,,7-949bf3969a-8sq3w8,,,7-eea5bb82c5-lpdxzb,7-b4aeafb8dd-033tjr
7-88c4bcc1ad-j0d8g1,/va/wytheville/wythe-county-va-service-unit/,,,,,7-f0f9b5c4ec-xb359v,,,8a83ffcd8fca4ef201903dd1f8eb0049,,Wythe County VA (Wytheville) Service Unit,,7-949bf3969a-8sq3w8,,,7-80b1caa291-4wnwbh,7-b4aeafb8dd-033tjr
7-8add93b29a-lw8q9n,/va/shenandoah/shenandoah-and-page-counties-va-service-unit/,,,,,7-f0f9b5c4ec-xb359v,,,8a83ffcd8fca4ef201903dd1f1940046,,Shenandoah and Page Counties VA (Shenandoah) Service Unit,,7-949bf3969a-8sq3w8,,,7-80b1caa291-4wnwbh,7-b4aeafb8dd-033tjr
7-c6e0c59589-8ppx3j,/va/surry/surry-county-va-service-unit/,,,,,7-f0f9b5c4ec-xb359v,,,8a83ffcd8fca4ef201903dd1eade0043,,Surry County VA (Surry) Service Unit,,7-949bf3969a-8sq3w8,,,7-80b1caa291-4wnwbh,7-b4aeafb8dd-033tjr
7-e68ed3cdf8-v8qfs1,/va/hopewell/hopewell-city-va-service-unit/,,,,,7-f0f9b5c4ec-xb359v,,,8a83ffcd8fca4ef201903dd1e4400040,,Hopewell City VA (Hopewell) Service Unit,,7-949bf3969a-8sq3w8,,,7-80b1caa291-4wnwbh,7-b4aeafb8dd-033tjr
7-ccdcd5f3e7-lb4vwl,/va/montross/westmoreland-county-va-service-unit/,,,,,7-f0f9b5c4ec-xb359v,,,8a83ffcd8fca4ef201903dd1dd37003d,,Westmoreland County VA (Montross) Service Unit,,7-949bf3969a-8sq3w8,,,7-80b1caa291-4wnwbh,7-b4aeafb8dd-033tjr
7-8eadc2b4d7-1mbrn0,/wv/parsons/tucker-county-wv-service-unit/,,,,,7-f0f9b5c4ec-xb359v,,,8a83ffcd8fca4ef201903dd1d9e8003a,,Tucker County WV (Parsons) Service Unit,,7-949bf3969a-8sq3w8,,,7-eea5bb82c5-lpdxzb,7-b4aeafb8dd-033tjr
7-d0969d82c7-h2bwxz,/va/victoria/lunenburg-county-va-service-unit/,,,,,7-f0f9b5c4ec-xb359v,,,8a83ffcd8fca4ef201903dd1d75f0037,,Lunenburg County VA (Victoria) Service Unit,,7-949bf3969a-8sq3w8,,,7-80b1caa291-4wnwbh,7-b4aeafb8dd-033tjr
7-bafbbbd0b6-x9562s,/va/south-hill/mecklenburg-and-brunswick-counties-va-service-unit/,,,,,7-f0f9b5c4ec-xb359v,,,8a83ffcd8fca4ef201903dd1cd5d0034,,Mecklenburg and Brunswick Counties VA (South Hill) Service Unit,,7-949bf3969a-8sq3w8,,,7-80b1caa291-4wnwbh,7-b4aeafb8dd-033tjr
7-92d492e4a5-q7r5bj,/va/emporia/greensville-county-va-service-unit/,,,,,7-f0f9b5c4ec-xb359v,,,8a83ffcd8fca4ef201903dd1c43a0031,,Greensville County VA (Emporia) Service Unit,,7-949bf3969a-8sq3w8,,,7-80b1caa291-4wnwbh,7-b4aeafb8dd-033tjr
7-bca7a2f194-tmv7f9,/va/independence/grayson-county-va-service-unit/,,,,,7-f0f9b5c4ec-xb359v,,,8a83ffcd8fca4ef201903dd1c0f6002e,,Grayson County VA (Independence) Service Unit,,7-949bf3969a-8sq3w8,,,7-80b1caa291-4wnwbh,7-b4aeafb8dd-033tjr
7-bae9b4f780-6qst7h,/va/waverly/sussex-county-va-service-unit/,,,,,7-f0f9b5c4ec-xb359v,,,8a83ffcd8fca4ef201903dd1bad5002b,,Sussex County VA (Waverly) Service Unit,,7-949bf3969a-8sq3w8,,,7-80b1caa291-4wnwbh,7-b4aeafb8dd-033tjr
7-d8f0cde0ef-bwtqjr,/va/louisa/louisa-county-va-service-unit/,,,,,7-f0f9b5c4ec-xb359v,,,8a83ffcd8fca4ef201903dd1b5690028,,Louisa County VA (Louisa) Service Unit,,7-949bf3969a-8sq3w8,,,7-80b1caa291-4wnwbh,7-b4aeafb8dd-033tjr
7-98fb9df3de-hvnbhv,/wv/franklin/pendleton-county-wv-service-unit/,,,,,7-f0f9b5c4ec-xb359v,,,8a83ffcd8fca4ef201903dd1b3510025,,Pendleton County WV (Franklin) Service Unit,,7-949bf3969a-8sq3w8,,,7-eea5bb82c5-lpdxzb,7-b4aeafb8dd-033tjr
7-82d4ceadce-lb7s01,/va/lancaster/lancaster-county-va-service-unit/,,,,,7-f0f9b5c4ec-xb359v,,,8a83ffcd8fca4ef201903dd1b0160022,,Lancaster County VA (Lancaster) Service Unit,,7-949bf3969a-8sq3w8,,,7-80b1caa291-4wnwbh,7-b4aeafb8dd-033tjr
7-deb7d0fcbd-6qlpfh,/va/smithfield/isle-of-wight-county-va-service-unit/,,,,,7-f0f9b5c4ec-xb359v,,,8a83ffcd8fca4ef201903dd19623001c,,Isle of Wight County VA (Smithfield) Service Unit,,7-949bf3969a-8sq3w8,,,7-80b1caa291-4wnwbh,7-b4aeafb8dd-033tjr
7-e49bdcce9c-ql0zbj,/fl/wauchula/hardee-county-fl-service-unit/,,,,,7-d4ecfdb8aa-ggn7w9,,,8a83dcca901e85080190592ffaea0044,,Hardee County FL (Wauchula) Service Unit,,7-949bf3969a-8sq3w8,,,7-a8989ee7fe-vmd865,7-b4aeafb8dd-033tjr
7-d08ad58d8c-nb201g,/tx/deleon/comanche-county-tx-service-unit/,,,,,7-8cb2cdb7d3-v7g7zn,,,8a83dcca901e85080190592ff4670041,,Comanche County TX (DeLeon) Service Unit,,7-949bf3969a-8sq3w8,,,7-f4c3d4c9fc-rzcklp,7-b4aeafb8dd-033tjr
7-90d49cf0fb-cq46f9,/tx/winnie/chambers-county-tx-service-unit/,,,,,7-8cb2cdb7d3-v7g7zn,,,8a83dcca901e85080190527c58b6003a,,Chambers County TX (Winnie) Service Unit,,7-949bf3969a-8sq3w8,,,7-f4c3d4c9fc-rzcklp,7-b4aeafb8dd-033tjr
7-c6f7bfa7eb-d564f5,/tx/montague/montague-county-tx-service-unit/,,,,,7-8cb2cdb7d3-v7g7zn,,,8a83dcca901e85080190527c516b0037,,Montague County TX (Montague) Service Unit,,7-949bf3969a-8sq3w8,,,7-f4c3d4c9fc-rzcklp,7-b4aeafb8dd-033tjr
7-d8cadfe4da-04dqjm,/wv/moorefield/hardy-county-wv-service-unit/,,,,,7-f0f9b5c4ec-xb359v,,,8a83dcca901e850801903dd1fc8b002a,,Hardy County WV (Moorefield) Service Unit,,7-949bf3969a-8sq3w8,,,7-eea5bb82c5-lpdxzb,7-b4aeafb8dd-033tjr
7-b4c09b9fca-ww9q40,/va/tappahannock/essex-county-va-service-unit/,,,,,7-f0f9b5c4ec-xb359v,,,8a83dcca901e850801903dd1f50a0027,,Essex County VA (Tappahannock) Service Unit,,7-949bf3969a-8sq3w8,,,7-80b1caa291-4wnwbh,7-b4aeafb8dd-033tjr
7-9ecbae94b9-39pnd7,/va/marion/smyth-and-tazewell-counties-va-service-unit/,,,,,7-f0f9b5c4ec-xb359v,,,8a83dcca901e850801903dd1ee2f0024,,Smyth and Tazewell Counties VA (Marion) Service Unit,,7-949bf3969a-8sq3w8,,,7-80b1caa291-4wnwbh,7-b4aeafb8dd-033tjr
7-e69ccc92a8-td93c9,/va/lexington/lexington-city-va-service-unit/,,,,,7-f0f9b5c4ec-xb359v,,,8a83dcca901e850801903dd1e77f0021,,Lexington City VA (Lexington) Service Unit,,7-949bf3969a-8sq3w8,,,7-80b1caa291-4wnwbh,7-b4aeafb8dd-033tjr
7-88f0aea697-4mv5j7,/va/jonesville/lee-county-va-service-unit/,,,,,7-f0f9b5c4ec-xb359v,,,8a83dcca901e850801903dd1e0bc001e,,Lee County VA (Jonesville) Service Unit,,7-949bf3969a-8sq3w8,,,7-80b1caa291-4wnwbh,7-b4aeafb8dd-033tjr
7-82f8c8e585-52pxqc,/va/stuart/patrick-county-va-service-unit/,,,,,7-f0f9b5c4ec-xb359v,,,8a83dcca901e850801903dd1d569001b,,Patrick County VA (Stuart) Service Unit,,7-949bf3969a-8sq3w8,,,7-80b1caa291-4wnwbh,7-b4aeafb8dd-033tjr
7-92c6dfd9f4-nj91gc,/va/lovingston/nelson-county-va-service-unit/,,,,,7-f0f9b5c4ec-xb359v,,,8a83dcca901e850801903dd1d1f40018,,Nelson County VA (Lovingston) Service Unit,,7-949bf3969a-8sq3w8,,,7-80b1caa291-4wnwbh,7-b4aeafb8dd-033tjr
7-9efc94e3e3-q20z7t,/va/wise/wise-norton-scott-and-dickenson-counties-va-service-unit/,,,,,7-f0f9b5c4ec-xb359v,,,8a83dcca901e850801903dd1c96f0015,,"Wise, Norton, Scott, and Dickenson Counties VA (Wise) Service Unit",,7-949bf3969a-8sq3w8,,,7-80b1caa291-4wnwbh,7-b4aeafb8dd-033tjr
7-d0acfa94d2-gf639m,/va/farmville/prince-edward-and-nottoway-counties-va-service-unit/,,,,,7-f0f9b5c4ec-xb359v,,,8a83dcca901e850801903dd1be290012,,Prince Edward and Nottoway Counties VA (Farmville) Service Unit,,7-949bf3969a-8sq3w8,,,7-80b1caa291-4wnwbh,7-b4aeafb8dd-033tjr
7-d0e7d797c1-b464xr,/va/warsaw/richmond-county-va-service-unit/,,,,,7-f0f9b5c4ec-xb359v,,,8a83dcca901e850801903dd1b8a7000f,,Richmond County VA (Warsaw) Service Unit,,7-949bf3969a-8sq3w8,,,7-80b1caa291-4wnwbh,7-b4aeafb8dd-033tjr
7-a8e0e4ceb0-k1qr04,/va/chase-city/mecklenburg-and-charlotte-counties-va-service-unit/,,,,,7-f0f9b5c4ec-xb359v,,,8a83dcca901e850801903dd1ab99000c,,Mecklenburg and Charlotte Counties VA (Chase City) Service Unit,,7-949bf3969a-8sq3w8,,,7-80b1caa291-4wnwbh,7-b4aeafb8dd-033tjr
7-c4b9f1fa9f-pzr133,/va/halifax/halifax-county-va-service-unit/,,,,,7-f0f9b5c4ec-xb359v,,,8a83dcca901e850801903dd19f370009,,Halifax County VA (Halifax) Service Unit,,7-949bf3969a-8sq3w8,,,7-80b1caa291-4wnwbh,7-b4aeafb8dd-033tjr
7-a0a4b2f88e-3r98c0,/va/madison/madison-county-va-service-unit/,,,,,7-f0f9b5c4ec-xb359v,,,8a83dcca901e850801903dd199e50006,,Madison County VA (Madison) Service Unit,,7-949bf3969a-8sq3w8,,,7-80b1caa291-4wnwbh,7-b4aeafb8dd-033tjr
7-94a7ddc2fe-kgwwxt,/fl/lehigh-acres/lee-county-fl-service-unit/,,,,,7-d4ecfdb8aa-ggn7w9,,,8a83ac11909d821f0190a148feaa0011,,Lee County FL (Lehigh Acres) Service Unit,,7-949bf3969a-8sq3w8,,,7-a8989ee7fe-vmd865,7-b4aeafb8dd-033tjr
7-a0f798afed-0dvdw4,/fl/monticello/jefferson-county-fl-service-unit/,,,,,7-d4ecfdb8aa-ggn7w9,,,8a83ac11909d821f0190a148fafc000e,,Jefferson County FL (Monticello) Service Unit,,7-949bf3969a-8sq3w8,,,7-a8989ee7fe-vmd865,7-b4aeafb8dd-033tjr
7-82bbf9e3dc-2z243l,/fl/frostproof/polk-county-fl-service-unit/,,,,,7-d4ecfdb8aa-ggn7w9,,,8a83ac11909d821f0190a148f57a000b,,Polk County FL (Frostproof) Service Unit,,7-949bf3969a-8sq3w8,,,7-a8989ee7fe-vmd865,7-b4aeafb8dd-033tjr
7-90dffffecb-28t6f4,/fl/madison/madison-county-fl-service-unit/,,,,,7-d4ecfdb8aa-ggn7w9,,,8a83ac11909d821f0190a148debc0008,,Madison County FL (Madison) Service Unit,,7-949bf3969a-8sq3w8,,,7-a8989ee7fe-vmd865,7-b4aeafb8dd-033tjr
