"Item That May Need Fixing on the Page","Why This Is Important","How to Fix","Required or Optional","Fixed State","How to Fix Details"
"Images and files may still reference Amazon AWS URLs instead of Zesty Media DAM.","Using the correct media library ensures the images remain available long-term, load quickly, and stay consistent across the site.","Replace every AWS link with the image stored in the Zesty Media DAM. Download and re-upload assets to Zesty mobile page if necessary so all links point to Zesty Media.","Required","Images are hosted in Zesty Media DAM",
"Images appear pixelated, blurry, or cropped (e.g., logos or subjects cut off).","Clear, high-quality images build trust and make the page look professional. Poor visuals weaken the credibility of the entire site.","Replace with higher quality images; replace background that contain logos/graphics; (see QA issue link for details).","Required","Images are high-quality and display correctly","Upload a sharp, high-resolution image that relates to the subject of the page. Replace background images that contain logos/graphics. Replace any stretched or distorted images."
"Images may be too close to text or sections lack spacing.","Proper spacing improves readability and prevents a cluttered appearance.","Add padding or margins around images so text isn’t crowded. Ensure consistent spacing between sections, especially when background colors differ.","Required","Margins around images and sections are correct",
"Layout may feel cluttered or too sparse. May contain large bodies of text.","A clean, balanced layout helps visitors focus and makes the page more welcoming.","Adjust spacing so content is balanced. Use whitespace to separate sections but avoid leaving large blank areas. o	Avoid large bodies of text. If needed in examples like (Telling local history, etc.) break up text with graphics/images.","Optional","Page layout is balanced; Images break up large bodies of text.",
"Links may be broken or pointing to the wrong page.","Broken links frustrate visitors and make the site feel unreliable. They also harm search engine rankings.","Click through every link on the page. Replace or remove broken links and ensure each one points to the correct destination.","Required","All links work correctly",
"Navigation menu placement for this page may be missing or set to the wrong parent.","Proper navigation ensures visitors can easily find the page without confusion.","In the page settings, set 'Display in navigation' to Yes. Choose the correct parent (More, Ways to Give, or About Us) or select 'None' if it should not appear in the menu.","Required (if applicable)","Navigation placement is correct",
"Page columns and other content may not be responsive on mobile devices.","People access the site on many devices. Testing ensures the page works for everyone.","View the page on desktop, tablet, and phone. Test in major browsers like Chrome, Safari, Edge, and Firefox. Fix alignment, readability, or functionality issues. (See QA link for more details.)","Required","Page works across devices and browsers","Add div classes like ""col-12 col-sm-12 col-md-4 col-lg-4"" to ensure columns stack full width or take up the correct columns on smaller screens."
"Page may contain spelling or grammar errors.","Spelling and grammar errors reduce clarity and make the organization appear careless.","Proofread the entire page. Correct typos, missing words, or grammar issues before publishing.","Required","Text is free of spelling and grammar errors",
"Phone numbers, emails, or directions may be plain text instead of clickable.","Clickable contact info makes it faster and easier for visitors—especially on mobile—to get in touch or find a location.","Turn contact details into clickable links: tel: for phone numbers, mailto: for emails, and a Google Maps link for directions.","Required","Phone numbers, emails, and directions are clickable",
"Sections may read as large blocks of text that are hard to scan.","Short, scannable sections keep visitors interested. Large blocks discourage reading and reduce comprehension.","Break long text into shorter paragraphs. Add subheadings, bullet points, or relevant images to create visual breaks.","Required","Text is broken up and easy to read",
"SEO meta description may be missing or longer than recommended.","A strong meta description helps the page appear in search results and encourages people to click.","Write a short description (under 160 characters) that explains what the page is about, why it matters, and what action someone can take.","Required (for informational pages)","SEO Meta Description is set correctly",
"Some elements may not fully align with brand standards.","Following brand standards creates a professional, unified look that represents the organization well.","(See QA issue link for how to fix details.)","Required","Content follows brand standards","Use approved fonts, colors, and design elements. Build components like buttons or cards with the Code Snippets Generator to keep everything consistent. Adhere to TSA Brand Standards. View Web and Social Media Overview on SharePoint for details."
"Subtitle may be missing or not clearly supporting the title.","Subtitles reinforce the main idea and improve both readability and search visibility.","Add a subtitle that summarizes the page in a clear, engaging way. Keep it short and ensure it supports the main title. Write a short description (under 160 characters) that explains what the page is about, why it matters, and what action someone can take.","Required (for informational pages)","Page subtitle is set and helpful",
"Text may not resize correctly or may overlap on mobile devices.","Responsive text ensures mobile users can read content without frustration.","Use standard paragraph and heading elements from the updated design. Avoid custom font sizes that don’t scale responsively. Test text visibility across devices.","Required","Text displays correctly across devices",
